"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"l2norm_fwd_kernel",300,71052102,236840.340000,0.2346,1001,309583,118180.758274
"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",1123,62456866,55616.087266,0.2062,601,760953,110862.731367
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",442,58664656,132725.466063,0.1937,801,6748985,465504.124678
"_fused_qk_gemma_rmsnorm_gate_kernel",70,51761551,739450.728571,0.1709,1843,1307422,643245.434175
"mxfp4_sgl_linear_decode_gfx1151",180,45576315,253201.750000,0.1505,170561,622332,82071.100888
"_fused_sigmoid_mul_kernel",70,36260344,518004.914286,0.1197,1122,961770,451129.741532
"mxfp4_decode_gate_gfx1151",240,20534139,85558.912500,0.0678,81674,241495,13985.110045
"_ZN7sgl_hip10activation18act_and_mul_kernelI14__hip_bfloat16TnPFT_RKS3_EXadL_Z4siluIS2_ES3_S5_EEEEvPS3_PS4_i",280,19161062,68432.364286,0.0633,1042,129804,58236.234438
"void at::native::tensor_kernel_scan_innermost_dim_with_indices<long, std::greater_equal<long> >(long const*, long*, long*, int, int, unsigned int, unsigned int, long, std::greater_equal<long>)",160,16953833,105961.456250,0.0560,102914,337916,18486.845321
"_triton_mrope_forward_fused",70,14165103,202358.614286,0.0468,2124,373423,174095.956437
"_fwd_grouped_kernel_stage1",20,14031854,701592.700000,0.0463,14147,1428690,703840.027066
"void (anonymous namespace)::store_kvcache<1024l, 2, false, long>((anonymous namespace)::StoreKVCacheParams)",70,9424545,134636.357143,0.0311,1563,237367,115713.246831
"_router_triton_kernel",280,7432430,26544.392857,0.0245,1844,50014,21068.927348
"mxfp4_decode_down_gfx1151",120,5802158,48351.316667,0.0192,46167,127721,7377.445276
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<1u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<1u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<1u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",60,5327671,88794.516667,0.0176,7374,175290,78125.140344
"chunk_local_cumsum_scalar_kernel",150,5131135,34207.566667,0.0169,1443,48010,16277.758045
